text,target_list
"judging from previous posts this used to be a good place, but not any longer.","[1, 0, 0]"
"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.","[1, 0, 0]"
"they never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","[1, 0, 0]"
the food was lousy - too sweet or too salty and the portions tiny.,"[1, 0, 0]"
"after all that, they complained to me about the small tip.","[1, 0, 0]"
avoid this place!,"[1, 0, 0]"
"i have eaten at saul, many times, the food is always consistently, outrageously good.","[0, 0, 1]"
saul is the best restaurant on smith street and in brooklyn.,"[0, 0, 1]"
the duck confit is always amazing and the foie gras terrine with figs was out of this world.,"[0, 0, 1]"
the wine list is interesting and has many good values.,"[0, 0, 1]"
"for the price, you cannot eat this well in manhattan.","[0, 0, 1]"
i was very disappointed with this restaurant.,"[1, 0, 0]"
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,"[1, 0, 0]"
i had to ask her three times before she finally came back with the dish ive requested.,"[1, 0, 0]"
"food was okay, nothing great.","[0, 1, 0]"
chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"[1, 0, 0]"
i/we will never go back to this place again.,"[1, 0, 0]"
"went on a 3 day oyster binge, with fish bringing up the closing, and i am so glad this was the place it o trip ended, because it was so great!","[0, 0, 1]"
"service was devine, oysters where a sensual as they come, and the price can not be beat!!!","[0, 0, 1]"
you can not go wrong here.,"[0, 0, 1]"
every time in new york i make it a point to visit restaurant saul on smith street.,"[0, 0, 1]"
"everything is always cooked to perfection, the service is excellent, the decor cool and understated.","[0, 0, 1]"
i had the duck breast special on my last visit and it was incredible.,"[0, 0, 1]"
can not wait wait for my next visit.,"[0, 0, 1]"
and i hate to say this but i doubt i will ever go back. ,"[1, 0, 0]"
"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","[1, 0, 0]"
the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,"[0, 0, 1]"
i had never had edamame pureed before but i thought it was innovative and tasty (could have used a bit more salt).,"[0, 0, 1]"
"their sake list was extensive, but we were looking for purple haze, which was not listed but made for us upon request!","[0, 0, 1]"
"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","[0, 0, 1]"
we went around 9:30 on a friday and it had died down a bit by then so the service was great!,"[0, 0, 1]"
we love th pink pony.,"[0, 0, 1]"
the perfect spot.,"[0, 0, 1]"
food-awesome.,"[0, 0, 1]"
service- friendly and attentive.,"[0, 0, 1]"
